id,pred_frame,true_frame
679563|GCF_000687515.1|NZ_JHWB01000009.1_cds_WP_022748980.1_571|0|3,3,3
857739|GCF_025532145.1|NZ_ARXS01000005.1_cds_WP_262459760.1_3404|0|3,3,3
673790|None|JAGFNY010000001.1_cds_MBW7569441.1_164|0|-2,3,-2
994474|GCF_002075085.1|NZ_LKAS01000002.1_cds_WP_080873014.1_406|0|-1,-1,-1
912761|GCF_033100255.1|NZ_CP136923.1_cds_WP_306391959.1_3484|0|-3,-3,-3
844978|GCF_900116565.1|NZ_FPCJ01000001.1_cds_WP_245759936.1_1553|0|1,1,1
458127|None|CP081135.1_cds_UEL48963.1_1151|0S|-1,-1,-1
879852|None|JAHOBL010000003.1_cds_MBV3161040.1_2220|0S|2,2,2
676006|None|JAGFNY010000010.1_cds_MBW7570108.1_833|0|-1,-1,-1
367556|GCF_003345255.1|NZ_CP029331.1_cds_WP_114649143.1_549|0|-3,-3,-3
740559|None|JAATEJ010000009.1_cds_NJP44583.1_6822|0|2,2,2
377998|None|CP002659.1_cds_AEC01354.1_112|0S|1,1,1
413371|GCF_021390335.1|NZ_JAJUXK010000004.1_cds_WP_233792137.1_2409|0|3,3,3
699370|None|VZBS01000033.1_cds_MQN97851.1_705|0S|1,1,1
873245|GCF_900454855.1|NZ_UGTJ01000001.1_cds_WP_244912359.1_1146|0|-2,-2,-2
590025|None|QTMI01000002.1_cds_RJV46503.1_1240|0|-1,-1,-1
627246|None|ANMO01000272.1_cds_EMB13152.1_6121|0|3,3,3
778069|GCF_003473265.1|NZ_QRMN01000001.1_cds_WP_016271132.1_128|0|-3,-3,-3
650911|None|JAHQUX010000007.1_cds_MBU9913100.1_3934|0S|-2,-2,-2
572618|None|BMFC01000004.1_cds_GGC03982.1_2080|0|-1,-1,-1
684692|GCF_001705635.1|NZ_MDGV01000011.1_cds_WP_019406318.1_1679|0S|3,3,3
407343|GCF_001715105.1|NZ_KV765983.1_cds_WP_069097751.1_39|0S|-2,-2,-2
297435|GCF_014698755.1|NZ_JACJTO010000007.1_cds_WP_190387037.1_3597|0|3,3,3
345891|GCF_035917015.1|NZ_JAPFBT010000003.1_cds_WP_207907157.1_1990|0|2,2,2
223472|GCF_001591945.1|NZ_BCVW01000001.1_cds_WP_066149941.1_395|0|-2,-2,-2
500926|GCF_028736955.1|NZ_JAQZDX010000006.1_cds_WP_241851896.1_605|0|-2,-2,-2
877299|None|JAUUBX010000069.1_cds_MDP0463927.1_896|0S|-2,-2,-2
394834|GCF_016652235.1|NZ_JAEPKU010000102.1_cds_WP_201113120.1_60|0|1,1,1
561736|GCF_008180855.1|NZ_VTEY01000001.1_cds_WP_148967630.1_512|0S|-1,-1,-1
411128|None|SIUB01000001.1_cds_TBN55291.1_1043|0|1,1,1
561787|GCF_008180855.1|NZ_VTEY01000001.1_cds_WP_262372417.1_543|0|3,3,3
306895|None|QSQQ01000006.1_cds_RGK48884.1_2820|0S|-3,-3,-3
609851|GCF_000422645.1|NZ_AUGL01000014.1_cds_WP_028109507.1_2507|0|-3,-3,-3
732950|GCF_021531105.1|NZ_JAFBIN010000009.1_cds_WP_235396258.1_2369|0S|-1,-1,-1
703886|None|VZBS01000036.1_cds_MQN98059.1_2611|0|-3,-3,-3
511617|None|FQZA01000002.1_cds_SHI65889.1_2924|0S|1,1,1
111108|GCF_017792025.1|NZ_CP046956.1_cds_WP_209368424.1_1531|0|1,1,1
620662|None|ANMO01000006.1_cds_EMB19207.1_102|0|1,1,1
559373|None|QWGS01000048.1_cds_RIJ57292.1_707|0|-1,-1,-1
352730|None|JAMBOD010000005.1_cds_MCM3732979.1_3501|0|1,1,1
269111|GCF_009810475.1|NZ_BLHI01000007.1_cds_WP_010874689.1_644|0|-3,-3,-3
489053|None|CP141041.1_cds_WQQ16453.1_322|0S|2,2,2
51915|GCF_003987065.1|NZ_PIPY01000005.1_cds_WP_126754276.1_1535|0|1,1,1
88636|None|PYGE01000009.1_cds_PSL02843.1_2784|0|1,1,1
89185|GCF_020554535.1|NZ_JAJCHN010000014.1_cds_WP_009015665.1_531|0|1,-1,1
194591|None|SLWL01000011.1_cds_TCO11746.1_2484|0|2,2,2
271832|None|NFLO01000005.1_cds_OUQ46139.1_2860|0|2,2,2
462459|None|CP070719.1_cds_UCF31675.1_876|0|-1,-1,-1
356454|GCF_902374375.1|NZ_CABKPU010000004.1_cds_WP_007562476.1_1165|0S|-3,-3,-3
558786|GCF_013283115.1|NZ_WBXW01000009.1_cds_WP_173487522.1_3308|0|3,3,3
666530|None|AQQV01000001.1_cds_ORE89623.1_1414|0|2,2,2
950244|GCF_003581425.1|NZ_QXTG01000002.1_cds_WP_119481870.1_1652|0|3,3,3
566245|GCF_008180855.1|NZ_VTEY01000005.1_cds_WP_222928662.1_3971|0|1,1,1
188309|GCF_032164355.1|NZ_CP134402.1_cds_WP_313796511.1_3553|0|-1,-1,-1
307141|None|LR214992.1_cds_VEU65469.1_294|0|-3,-3,-3
213492|None|KE159476.1_cds_EOS02858.1_2752|0S|3,3,3
801915|GCF_040098005.1|NZ_JBBNNJ010000047.1_cds_WP_349134244.1_2510|0S|2,2,2
586254|GCF_032586155.1|NZ_JAWHTC010000001.1_cds_WP_316298130.1_1089|0|2,2,2
996342|GCF_030372275.1|NZ_JAUDDJ010000010.1_cds_WP_289519087.1_407|0|-2,-2,-2
855490|GCF_025532145.1|NZ_ARXS01000014.1_cds_WP_262460855.1_976|0|-2,-2,-2
587944|None|KE148312.1_cds_EHL10111.1_1002|0S|1,1,1
499365|GCF_028736955.1|NZ_JAQZDX010000003.1_cds_WP_273572215.1_393|0|-1,-1,-1
319668|None|CP039766.1_cds_QHR20716.1_360|0|1,1,1
505725|GCF_039534685.1|NZ_BAAAVU010000024.1_cds_WP_209699001.1_5963|0S|2,2,2
568768|GCF_963899015.1|NZ_CAWQWL010000001.1_cds_WP_047256669.1_2540|0|-3,-3,-3
274585|GCF_004360145.1|NZ_ML178713.1_cds_WP_133485964.1_1318|0SS|-1,-1,-1
52921|GCF_037023755.1|NZ_CP146100.1_cds_WP_338601676.1_1411|0S|-3,-3,-3
338881|None|JAXFDQ010000007.1_cds_MDY5579229.1_1319|0|2,2,2
661460|None|JAHOBK010000077.1_cds_MBV3178373.1_3285|0SS|-2,-2,-2
134298|None|VSFC01000023.1_cds_TYA57299.1_425|0|-3,-3,-3
542501|GCF_026427675.1|NZ_CP107525.1_cds_WP_154221496.1_189|0|3,3,3
989150|None|JAJNGV010000001.1_cds_MCD2350690.1_722|0|-1,-1,-1
125937|None|AZDI01000002.1_cds_KRK46257.1_746|0S|-3,-3,-3
654841|None|JAQTIL010000033.1_cds_MDD1360357.1_625|0|2,2,2
260618|GCF_019132215.1|NZ_JAHONQ010000057.1_cds_WP_172774222.1_4125|0|-3,-3,-3
290179|GCF_000156075.1|NZ_DS995535.1_cds_WP_007835780.1_2197|0|-3,-3,-3
625403|None|ANMO01000211.1_cds_EMB14675.1_4482|0|-2,-2,-2
537944|None|JAAILM010000014.1_cds_NSC56740.1_450|0|3,3,3
790612|GCF_000971215.1|NZ_BBMA01000012.1_cds_WP_062523147.1_128|0|3,3,3
241440|GCF_000429665.1|NZ_AUCH01000005.1_cds_WP_026686214.1_1239|0|-3,-3,-3
787938|GCF_024648865.1|NZ_JANBBG010000004.1_cds_WP_258935921.1_424|0|1,1,1
275445|GCF_039537855.1|NZ_BAABBH010000001.1_cds_WP_263413400.1_1697|0S|-1,-1,-1
978205|None|CP076021.1_cds_QWB95280.1_923|0|1,1,1
589486|None|QTMI01000001.1_cds_RJV47466.1_279|0|3,3,3
144471|GCF_016587375.1|NZ_BNJG01000002.1_cds_WP_201373090.1_4903|0|3,-3,3
360886|None|QWEY01000001.1_cds_RGP38938.1_427|0S|-2,-2,-2
111335|None|CP107218.1_cds_UYJ17016.1_151|0|-1,-1,-1
882861|GCF_900103605.1|NZ_FNHY01000006.1_cds_WP_093062013.1_2141|0|-2,-2,-2
297466|GCF_014698755.1|NZ_JACJTO010000007.1_cds_WP_190387052.1_3613|0S|-1,-1,-1
37636|None|CP039762.1_cds_FA947_02110_403|0|3,-3,3
894056|GCF_014218805.1|NZ_JACJUV010000008.1_cds_WP_185236280.1_4052|0|-2,-2,-2
382742|GCF_030284695.1|NZ_JASUZX010000001.1_cds_WP_285958312.1_1841|0|-3,-3,-3
172487|GCF_003471195.1|NZ_QRIN01000006.1_cds_WP_117586858.1_2463|0|1,1,1
83674|None|CP039778.1_cds_QHR12278.1_336|0|3,3,3
593367|None|CP093337.1_cds_UNK38535.1_424|0|-2,-2,-2
181413|GCF_018860285.1|NZ_JAHKPC010000016.1_cds_WP_215965027.1_3756|0|-2,-2,-2
701051|None|VZBS01000028.1_cds_MQN97521.1_1396|0|3,3,3
121455|GCF_025685425.1|NZ_JAGTAS010000024.1_cds_WP_263415818.1_629|0|2,2,2
777404|None|JAEPKU010000038.1_cds_MBK5720958.1_2336|0|3,3,3
13327|GCF_015561245.1|NZ_JADMTD010000008.1_cds_WP_022038002.1_3738|0|1,1,1
782187|GCF_036330325.1|NZ_JAZDRO010000001.1_cds_WP_330195133.1_579|0S|1,1,1
107199|GCF_000092125.1|NC_014212.1_cds_WP_245393674.1_2463|0|2,2,2
220286|None|JANDJP010000011.1_cds_MDF9914349.1_135|0S|-2,-2,-2
950405|GCF_003581425.1|NZ_QXTG01000003.1_cds_WP_119483591.1_3270|0|-2,-2,-2
46848|GCF_030011755.1|NZ_JASCYE010000007.1_cds_WP_282825668.1_2502|0|1,1,1
103459|None|BSPX01000006.1_cds_GLT21310.1_761|0|-1,-1,-1
440719|GCF_003350065.1|NZ_QLKV01000001.1_cds_WP_114958908.1_107|0|1,1,1
567177|GCF_008180855.1|NZ_VTEY01000009.1_cds_WP_148970924.1_4654|0S|-1,-1,-1
821600|None|SKFH01000022.1_cds_TCZ69327.1_2471|0|-2,-2,-2
